qid,정답유무,학생답안,학생풀이,
223174,FAIL,10010,223174-1.png,
223174,PASS,20,223174-2.png,
223174,PASS,20,223174-3.png,
253796,FAIL,9,253796-1.png,
253796,PASS,12,253796-2.png,
253796,PASS,12,253796-3.png,
246771,FAIL,-1,246771-1.png,
246771,PASS,6,246771-2.png,
246771,PASS,6,246771-3.png,
360439,FAIL,$\dfrac{13}{12}$,360439-1.png,
360439,PASS,$\dfrac{12}{13}$,360439-2.png,
360439,PASS,$\dfrac{12}{13}$,360439-3.png,
187486,FAIL,$-5$,187486-1.png,
187486,PASS,$-2$,187486-2.png,
187486,PASS,$-2$,187486-3.png,
350330,FAIL,$\\frac{\\sqrt{3}-\\sqrt{2}}{2}$,350330-1.png,
350330,PASS,0,350330-2.png,
350330,PASS,0,350330-3.png,
255221,FAIL,1,255221-1.png,
255221,PASS,4,255221-2.png,
255221,PASS,4,255221-3.png,
254570,FAIL,14,254570-1.png,
254570,PASS,49,254570-2.png,
254570,PASS,49,254570-3.png,
251701,FAIL,1024,251701-1.png,
251701,PASS,256,251701-2.png,
251701,PASS,256,251701-3.png,
251441,FAIL,3,251441-1.png,
251441,PASS,9,251441-2.png,
251441,PASS,9,251441-3.png,
224279,PASS,18,224279-1.png,
224279,PASS,18,224279-2.png,
224279,FAIL,-2,224279-3.png,
224279,FAIL,-2,224279-4.png,
224279,PASS,18,224279-5.png,
224279,PASS,18,224279-6.png,
